6,9,422,490,0,0,0
5,22,428,807,0,0,0
3,33,825,679,1,0,1
3,33,497,533,1,0,1
3,33,639,463,0,0,0
2,36,289,336,0,0,0
3,30,594,499,1,0,1
0,26,785,699,0,0,0
0,32,467,849,0,0,0
0,32,925,765,0,0,0
0,34,639,608,0,0,0
6,20,658,671,0,0,0
5,37,573,621,0,0,0
4,23,491,493,0,0,0
4,32,767,599,0,0,0
4,16,640,594,0,0,0
3,34,502,530,0,0,0
3,5,590,926,0,0,0
2,30,628,643,0,0,0
2,34,558,695,0,0,0
2,37,523,770,0,0,0
2,37,413,661,1,0,1
2,10,574,617,0,0,0
1,0,478,577,0,0,0
1,41,651,772,0,0,0
1,14,695,564,1,0,1
1,15,697,566,0,0,0
0,24,655,594,0,0,0
0,18,597,652,0,0,0
5,21,639,620,0,0,0
5,30,374,426,1,0,1
5,31,461,509,0,0,0
4,21,642,465,0,0,0
4,17,533,550,0,0,0
3,26,354,219,1,0,1
3,26,455,608,0,0,0
3,26,425,855,0,0,0
3,26,444,521,0,0,0
3,34,720,513,0,0,0
2,26,339,474,0,0,0
2,40,451,656,0,0,0
2,40,347,475,0,0,0
1,33,675,565,0,0,0
1,2,285,470,0,0,0
1,2,424,565,0,0,0
0,27,452,617,0,0,0
0,36,780,578,1,0,1
4,20,822,701,0,0,0
4,29,696,516,0,0,0
4,33,587,489,0,0,0
4,35,770,614,0,0,0
4,17,556,557,0,0,0
3,21,450,491,0,0,0
3,21,679,639,0,0,0
3,21,617,484,0,0,0
3,21,632,479,0,0,0
3,21,440,508,1,0,1
3,21,727,514,0,0,0
3,22,498,490,0,0,0
3,22,464,601,0,0,0
3,22,655,493,0,0,0
2,37,830,567,0,0,0
1,30,722,524,1,0,1
1,30,213,254,0,0,0
1,14,528,869,1,0,2
6,33,282,512,0,0,0
3,23,650,770,0,0,0
3,33,826,612,0,0,0
1,34,813,563,0,0,0
1,39,483,543,0,0,0
0,22,409,566,0,0,0
3,21,636,974,0,0,0
3,21,189,618,0,0,0
0,25,501,758,1,0,2
0,34,227,530,0,0,0
0,15,615,695,0,0,0
6,33,414,756,0,0,0
5,35,651,532,0,0,0
5,35,295,432,0,0,0
5,45,188,169,0,0,0
5,19,604,504,0,0,0
3,22,933,746,1,0,1
3,45,430,852,0,0,0
3,6,385,474,0,0,0
2,20,535,450,0,0,0
2,26,673,555,0,0,0
2,29,510,677,0,0,0
1,37,583,785,0,0,0
0,27,589,448,0,0,0
0,27,626,623,0,0,0
0,37,659,552,0,0,0
0,39,644,514,0,0,0
0,39,619,574,0,0,0
6,37,510,801,1,0,1
6,37,526,747,1,0,1
5,29,583,642,0,0,0
5,35,833,707,0,0,0
2,25,345,664,1,0,1
2,32,226,739,0,0,0
2,36,396,704,0,0,0
2,19,489,952,0,0,0
1,27,314,562,0,0,0
0,24,534,566,0,0,0
0,24,629,464,0,0,0
0,24,629,471,0,0,0
6,34,381,619,0,0,0
6,2,604,864,0,0,0
6,16,783,664,1,0,1
5,4,346,454,0,0,0
4,0,711,566,1,0,1
4,23,688,831,0,0,0
4,23,847,741,0,0,0
4,15,670,558,1,0,1
3,29,370,542,0,0,0
3,29,660,488,0,0,0
3,38,582,718,0,0,0
3,47,588,869,0,0,0
2,35,313,534,0,0,0
2,35,608,486,0,0,0
1,23,658,519,0,0,0
0,35,271,511,1,0,1
6,2,769,571,1,0,1
5,32,275,497,0,0,0
4,25,592,593,0,0,0
1,33,513,722,0,0,0
1,12,762,602,0,0,0
1,18,426,637,0,0,0
1,18,775,609,0,0,0
1,18,491,494,0,0,0
0,38,589,491,0,0,0
0,38,574,813,0,0,0
0,38,576,734,0,0,0
0,38,469,830,0,0,0
6,42,657,661,1,0,1
5,22,684,496,0,0,0
5,14,352,485,1,0,1
4,32,482,477,0,0,0
4,17,672,543,1,0,1
3,28,754,636,0,0,0
3,28,663,538,0,0,0
2,25,232,513,0,0,0
2,28,820,582,0,0,0
1,36,425,591,0,0,0
0,19,646,757,0,0,0
6,29,426,586,0,0,0
5,28,617,491,0,0,0
5,37,594,736,1,0,1
5,46,469,503,0,0,0
4,0,590,483,0,0,0
4,1,542,535,0,0,0
5,24,369,631,1,0,1
5,24,638,741,1,0,1
3,30,591,973,1,0,3
3,2,804,712,0,0,0
2,36,475,605,0,0,0
2,38,424,865,0,0,0
2,19,633,534,0,0,0
1,23,644,528,0,0,0
1,24,632,675,0,0,0
1,32,669,885,1,0,1
0,21,664,678,0,0,0
6,30,643,537,0,0,0
6,38,792,680,1,0,1
5,34,706,558,0,0,0
